Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
STUK 스투크,"8,900",칸막이정리함, 블루그레이,34x51x10 cm,4.6,34,https://www.ikea.com/kr/ko/p/stuk-box-with-compartments-blue-grey-70493918/,https://www.ikea.com/kr/ko/images/products/stuk-box-with-compartments-blue-grey__0992045_pe819773_s5.jpg?f=s,70493918
KUGGIS 쿠기스,"10,000",8칸인서트, 화이트,No Size,4.5,4,https://www.ikea.com/kr/ko/p/kuggis-insert-with-8-compartments-white-80280209/,https://www.ikea.com/kr/ko/images/products/kuggis-insert-with-8-compartments-white__0372099_pe552044_s5.jpg?f=s,80280209
KOMPLEMENT 콤플레멘트,"22,900",수납함, 라이트그레이,25x27x12 cm,4,1,https://www.ikea.com/kr/ko/p/komplement-box-light-grey-00405779/,https://www.ikea.com/kr/ko/images/products/komplement-box-light-grey__0582211_pe670679_s5.jpg?f=s,00405779
SKUBB 스쿠브,"9,900",수납함6종, 화이트,No Size,4.7,31,https://www.ikea.com/kr/ko/p/skubb-box-set-of-6-white-20428553/,https://www.ikea.com/kr/ko/images/products/skubb-box-set-of-6-white__0111720_pe262659_s5.jpg?f=s,20428553
RAGGISAR 라기사르,"9,900",트레이, 다크그레이,40x30 cm,4.5,10,https://www.ikea.com/kr/ko/p/raggisar-tray-dark-grey-80348025/,https://www.ikea.com/kr/ko/images/products/raggisar-tray-dark-grey__0710846_pe727798_s5.jpg?f=s,80348025
BAXNA,"2,500",정리함, 그레이/화이트,17x20x6 cm,4.7,3,https://www.ikea.com/kr/ko/p/baxna-organiser-grey-white-00474367/,https://www.ikea.com/kr/ko/images/products/baxna-organiser-grey-white__0943302_pe796876_s5.jpg?f=s,00474367
UPPRYMD 우프륌드,"12,900",수납함, 블랙 옐로/터쿼이즈,18x27x17 cm,4.6,14,https://www.ikea.com/kr/ko/p/upprymd-box-black-yellow-turquoise-40462254/,https://www.ikea.com/kr/ko/images/products/upprymd-box-black-yellow-turquoise__0831122_pe776969_s5.jpg?f=s,40462254
STUK 스투크,"2,900",정리함, 화이트,26x20x6 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/stuk-organiser-white-60507402/,https://www.ikea.com/kr/ko/images/products/stuk-organiser-white__1014395_pe829639_s5.jpg?f=s,60507402
GODMORGON 고드모르곤,"14,900",수납함+뚜껑5종, 스모크,24x20x10 cm,4.9,10,https://www.ikea.com/kr/ko/p/godmorgon-box-with-lid-set-of-5-smoked-30400271/,https://www.ikea.com/kr/ko/images/products/godmorgon-box-with-lid-set-of-5-smoked__0802868_pe768615_s5.jpg?f=s,30400271
NOJIG 노이그,"1,500",정리함, 플라스틱/베이지,20x25x10 cm,4.9,31,https://www.ikea.com/kr/ko/p/nojig-organiser-plastic-beige-80468107/,https://www.ikea.com/kr/ko/images/products/nojig-organiser-plastic-beige__0954730_pe804516_s5.jpg?f=s,80468107
GLIS 글리스,"2,900",수납함+뚜껑, 옐로/블루,17x10 cm,4.9,14,https://www.ikea.com/kr/ko/p/glis-box-with-lid-yellow-blue-20466154/,https://www.ikea.com/kr/ko/images/products/glis-box-with-lid-yellow-blue__0795103_pe765864_s5.jpg?f=s,20466154
NIKKEBY 니케뷔,"99,900",4칸서랍장, 그레이그린,84x70 cm,4.6,50,https://www.ikea.com/kr/ko/p/nikkeby-chest-of-4-drawers-grey-green-10439463/,https://www.ikea.com/kr/ko/images/products/nikkeby-chest-of-4-drawers-grey-green__0729044_pe738503_s5.jpg?f=s,10439463
KULLEN 쿨렌,"99,900",5칸서랍장, 화이트,70x112 cm,4.3,16,https://www.ikea.com/kr/ko/p/kullen-chest-of-5-drawers-white-90355732/,https://www.ikea.com/kr/ko/images/products/kullen-chest-of-5-drawers-white__0393316_pe562524_s5.jpg?f=s,90355732
LENNART 렌나르트,"17,000",서랍유닛, 화이트,No Size,4.5,186,https://www.ikea.com/kr/ko/p/lennart-drawer-unit-white-10326178/,https://www.ikea.com/kr/ko/images/products/lennart-drawer-unit-white__0395412_pe564513_s5.jpg?f=s,10326178
GURSKEN 구르스켄,"59,900",3칸서랍장, 라이트베이지,69x67 cm,4,4,https://www.ikea.com/kr/ko/p/gursken-chest-of-3-drawers-light-beige-60503296/,https://www.ikea.com/kr/ko/images/products/gursken-chest-of-3-drawers-light-beige__0923963_pe788460_s5.jpg?f=s,60503296
MALM 말름,"239,000",6칸서랍장, 화이트,160x78 cm,4.6,32,https://www.ikea.com/kr/ko/p/malm-chest-of-6-drawers-white-70354644/,https://www.ikea.com/kr/ko/images/products/malm-chest-of-6-drawers-white__0484884_pe621348_s5.jpg?f=s,70354644
HELMER 헬메르,"34,900",이동식서랍유닛, 화이트,28x69 cm,4.6,1714,https://www.ikea.com/kr/ko/p/helmer-drawer-unit-on-castors-white-90251046/,https://www.ikea.com/kr/ko/images/products/helmer-drawer-unit-on-castors-white__0175264_pe328644_s5.jpg?f=s,90251046
MALM 말름,"169,000",4칸서랍장, 화이트,80x100 cm,4.6,35,https://www.ikea.com/kr/ko/p/malm-chest-of-4-drawers-white-20354646/,https://www.ikea.com/kr/ko/images/products/malm-chest-of-4-drawers-white__0484879_pe621344_s5.jpg?f=s,20354646
MALM 말름,"199,000",6칸서랍장, 화이트스테인 참나무 무늬목/거울유리,40x123 cm,4.5,14,https://www.ikea.com/kr/ko/p/malm-chest-of-6-drawers-white-stained-oak-veneer-mirror-glass-60354668/,https://www.ikea.com/kr/ko/images/products/malm-chest-of-6-drawers-white-stained-oak-veneer-mirror-glass__0484886_pe621350_s5.jpg?f=s,60354668
MALM 말름,"199,000",6칸서랍장, 화이트,80x123 cm,4.6,52,https://www.ikea.com/kr/ko/p/malm-chest-of-6-drawers-white-40354645/,https://www.ikea.com/kr/ko/images/products/malm-chest-of-6-drawers-white__0484891_pe621335_s5.jpg?f=s,40354645
MUSKEN 무스켄,"199,000",4칸서랍장, 브라운,118x65 cm,5,2,https://www.ikea.com/kr/ko/p/musken-chest-of-4-drawers-brown-00378686/,https://www.ikea.com/kr/ko/images/products/musken-chest-of-4-drawers-brown__0179830_pe332000_s5.jpg?f=s,00378686
KOPPANG 코팡,"129,000",3칸서랍장, 화이트,90x83 cm,4.6,18,https://www.ikea.com/kr/ko/p/koppang-chest-of-3-drawers-white-20357895/,https://www.ikea.com/kr/ko/images/products/koppang-chest-of-3-drawers-white__0651169_pe706781_s5.jpg?f=s,20357895
ALEX 알렉스,"99,900",서랍유닛, 화이트,36x70 cm,4.4,13,https://www.ikea.com/kr/ko/p/alex-drawer-unit-white-40473549/,https://www.ikea.com/kr/ko/images/products/alex-drawer-unit-white__0977775_pe813763_s5.jpg?f=s,40473549
NORDLI 노르들리,"200,000",4칸서랍장, 화이트,40x99 cm,4.5,6,https://www.ikea.com/kr/ko/p/nordli-chest-of-4-drawers-white-s59239844/,https://www.ikea.com/kr/ko/images/products/nordli-chest-of-4-drawers-white__0555308_pe660398_s5.jpg?f=s,59239844
NESNA 네스나,"14,900",침대협탁, 대나무,36x35 cm,4.7,54,https://www.ikea.com/kr/ko/p/nesna-bedside-table-bamboo-20247128/,https://www.ikea.com/kr/ko/images/products/nesna-bedside-table-bamboo__0133450_pe288918_s5.jpg?f=s,20247128
