Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
BAGGEBO 바게보,"27,000",도어수납장, 화이트,50x30x80 cm,4.4,9,https://www.ikea.com/kr/ko/p/baggebo-cabinet-with-door-white-70483882/,https://www.ikea.com/kr/ko/images/products/baggebo-cabinet-with-door-white__1016757_pe830615_s5.jpg?f=s,70483882
IKEA PS,"79,900",수납장, 화이트,119x63 cm,4.5,71,https://www.ikea.com/kr/ko/p/ikea-ps-cabinet-white-90251452/,https://www.ikea.com/kr/ko/images/products/ikea-ps-cabinet-white__0644741_pe702929_s5.jpg?f=s,90251452
LIXHULT 릭스훌트,"39,900",수납장, 메탈/그레이,60x35 cm,4.6,110,https://www.ikea.com/kr/ko/p/lixhult-cabinet-metal-grey-80328678/,https://www.ikea.com/kr/ko/images/products/lixhult-cabinet-metal-grey__0644746_pe702934_s5.jpg?f=s,80328678
EKET 에케트,"110,000",수납장+도어2/선반1, 화이트,70x35x70 cm,4.3,14,https://www.ikea.com/kr/ko/p/eket-cabinet-w-2-doors-and-1-shelf-white-80333953/,https://www.ikea.com/kr/ko/images/products/eket-cabinet-w-2-doors-and-1-shelf-white__0472902_pe614311_s5.jpg?f=s,80333953
BILLY 빌리 / OXBERG 옥스베리,"59,900",책장+도어, 화이트,40x30x106 cm,5,6,https://www.ikea.com/kr/ko/p/billy-oxberg-bookcase-with-door-white-s49287393/,https://www.ikea.com/kr/ko/images/products/billy-oxberg-bookcase-with-door-white__0667888_pe714149_s5.jpg?f=s,49287393
LIXHULT 릭스훌트,"39,900",수납장, 메탈/앤트러싸이트,35x60 cm,4.7,18,https://www.ikea.com/kr/ko/p/lixhult-cabinet-metal-anthracite-00476521/,https://www.ikea.com/kr/ko/images/products/lixhult-cabinet-metal-anthracite__0914419_pe784005_s5.jpg?f=s,00476521
BRIMNES 브림네스,"99,900",도어수납장, 화이트,78x95 cm,4.6,28,https://www.ikea.com/kr/ko/p/brimnes-cabinet-with-doors-white-00351861/,https://www.ikea.com/kr/ko/images/products/brimnes-cabinet-with-doors-white__0627105_pe693181_s5.jpg?f=s,00351861
LIXHULT 릭스훌트,"159,600",수납콤비네이션, 그레이,120x35x92 cm,5,8,https://www.ikea.com/kr/ko/p/lixhult-cabinet-combination-grey-s09279187/,https://www.ikea.com/kr/ko/images/products/lixhult-cabinet-combination-grey__0622553_pe690616_s5.jpg?f=s,09279187
EKET 에케트,"125,000",수납콤비네이션+다리, 화이트/목재,70x35x80 cm,4.8,4,https://www.ikea.com/kr/ko/p/eket-cabinet-combination-with-legs-white-wood-s59388004/,https://www.ikea.com/kr/ko/images/products/eket-cabinet-combination-with-legs-white-wood__0915225_pe784665_s5.jpg?f=s,59388004
BAGGEBO 바게보,"45,000",유리도어 수납장, 메탈/화이트,34x30x116 cm,3.4,7,https://www.ikea.com/kr/ko/p/baggebo-cabinet-with-glass-doors-metal-white-10502992/,https://www.ikea.com/kr/ko/images/products/baggebo-cabinet-with-glass-doors-metal-white__0981557_pe815393_s5.jpg?f=s,10502992
EKET 에케트,"100,000",수납장+도어2/선반2, 화이트,70x25x70 cm,3.9,7,https://www.ikea.com/kr/ko/p/eket-cabinet-w-2-doors-and-2-shelves-white-10334606/,https://www.ikea.com/kr/ko/images/products/eket-cabinet-w-2-doors-and-2-shelves-white__0547132_pe656431_s5.jpg?f=s,10334606
PLATSA 플랏사,"105,000",오픈 선반유닛, 화이트,60x40x120 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/platsa-open-shelving-unit-white-90452573/,https://www.ikea.com/kr/ko/images/products/platsa-open-shelving-unit-white__0772515_pe756015_s5.jpg?f=s,90452573
BESTÅ 베스토,"365,000",수납콤비네이션+도어/서랍, 화이트/라프비켄/스투바르프 화이트,120x42x112 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/besta-storage-combination-w-doors-drawers-white-lappviken-stubbarp-white-s39481847/,https://www.ikea.com/kr/ko/images/products/besta-storage-combination-w-doors-drawers-white-lappviken-stubbarp-white__1087952_pe860966_s5.jpg?f=s,39481847
HAUGA 하우가,"179,000",수납장+도어2, 화이트,70x116 cm,4,3,https://www.ikea.com/kr/ko/p/hauga-cabinet-with-2-doors-white-40415074/,https://www.ikea.com/kr/ko/images/products/hauga-cabinet-with-2-doors-white__0914104_pe783847_s5.jpg?f=s,40415074
HÄLLAN 헬란,"50,000",수납장, 화이트,45x50 cm,3.5,2,https://www.ikea.com/kr/ko/p/haellan-cabinet-white-30363730/,https://www.ikea.com/kr/ko/images/products/haellan-cabinet-white__0554177_pe659666_s5.jpg?f=s,30363730
TROTTEN 트로텐,"159,000",미닫이수납장, 화이트,80x75 cm,5,2,https://www.ikea.com/kr/ko/p/trotten-cabinet-with-sliding-doors-white-00474777/,https://www.ikea.com/kr/ko/images/products/trotten-cabinet-with-sliding-doors-white__1009414_pe827586_s5.jpg?f=s,00474777
BILLY 빌리 / OXBERG 옥스베리,"99,900",책장+도어, 화이트,80x30x106 cm,4.8,16,https://www.ikea.com/kr/ko/p/billy-oxberg-bookcase-with-doors-white-s39281042/,https://www.ikea.com/kr/ko/images/products/billy-oxberg-bookcase-with-doors-white__0667847_pe714123_s5.jpg?f=s,39281042
HÄLLAN 헬란,"80,000",수납콤비네이션+도어, 화이트,45x47x92 cm,4.6,7,https://www.ikea.com/kr/ko/p/haellan-storage-combination-with-doors-white-s99291316/,https://www.ikea.com/kr/ko/images/products/haellan-storage-combination-with-doors-white__0664414_pe712728_s5.jpg?f=s,99291316
TROTTEN 트로텐,"119,000",도어수납장, 화이트,70x110 cm,4,1,https://www.ikea.com/kr/ko/p/trotten-cabinet-with-doors-white-90474773/,https://www.ikea.com/kr/ko/images/products/trotten-cabinet-with-doors-white__1007247_pe825962_s5.jpg?f=s,90474773
LIXHULT 릭스훌트,"29,900",수납장, 메탈/블루,35x35 cm,4.7,6,https://www.ikea.com/kr/ko/p/lixhult-cabinet-metal-blue-60476518/,https://www.ikea.com/kr/ko/images/products/lixhult-cabinet-metal-blue__0914423_pe784008_s5.jpg?f=s,60476518
PLATSA 플랏사,"60,000",오픈 선반유닛, 화이트,60x40x60 cm,5,1,https://www.ikea.com/kr/ko/p/platsa-open-shelving-unit-white-00452577/,https://www.ikea.com/kr/ko/images/products/platsa-open-shelving-unit-white__0772524_pe756021_s5.jpg?f=s,00452577
BESTÅ 베스토,"220,000",수납콤비네이션+도어, 화이트/라프비켄/스투바르프 화이트,120x42x74 cm,4.5,6,https://www.ikea.com/kr/ko/p/besta-storage-combination-with-doors-white-lappviken-stubbarp-white-s69209827/,https://www.ikea.com/kr/ko/images/products/besta-storage-combination-with-doors-white-lappviken-stubbarp-white__0494338_pe626953_s5.jpg?f=s,69209827
STÖTTA 스퇴타,"12,000",LED 수납장 라인조명+센서, 배터리식 화이트,32 cm,3.5,15,https://www.ikea.com/kr/ko/p/stoetta-led-cabinet-lighting-strip-w-sensor-battery-operated-white-30360086/,https://www.ikea.com/kr/ko/images/products/stoetta-led-cabinet-lighting-strip-w-sensor-battery-operated-white__0637301_pe698224_s5.jpg?f=s,30360086
IVAR 이바르,"130,000",도어수납장, 그레이 메시,80x83 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/ivar-cabinet-with-doors-grey-mesh-80484089/,https://www.ikea.com/kr/ko/images/products/ivar-cabinet-with-doors-grey-mesh__0924492_pe788583_s5.jpg?f=s,80484089
IVAR 이바르,"37,900",이동식 수납상자, 소나무,78x30 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/ivar-storage-box-on-wheels-pine-40487141/,https://www.ikea.com/kr/ko/images/products/ivar-storage-box-on-wheels-pine__0945016_pe797533_s5.jpg?f=s,40487141
HAUGA 하우가,"279,000",다용도수납장, 화이트,140x84 cm,4.5,4,https://www.ikea.com/kr/ko/p/hauga-sideboard-white-20407292/,https://www.ikea.com/kr/ko/images/products/hauga-sideboard-white__0914116_pe783853_s5.jpg?f=s,20407292
KALLAX 칼락스,"179,900",선반장+인서트4, 블랙브라운,77x147 cm,4.5,8,https://www.ikea.com/kr/ko/p/kallax-shelving-unit-with-4-inserts-black-brown-s99278305/,https://www.ikea.com/kr/ko/images/products/kallax-shelving-unit-with-4-inserts-black-brown__0754623_pe747987_s5.jpg?f=s,99278305
TRÅDFRI 트로드프리,"9,900",무선 디머, 화이트,No Size,4.3,7,https://www.ikea.com/kr/ko/p/tradfri-wireless-dimmer-white-30408597/,https://www.ikea.com/kr/ko/images/products/tradfri-wireless-dimmer-white__0710157_pe727359_s5.jpg?f=s,30408597
TULLSTORP 툴스토르프,"129,000",수납장, 베이지,99x35x89 cm,4.5,2,https://www.ikea.com/kr/ko/p/tullstorp-cabinet-beige-00466386/,https://www.ikea.com/kr/ko/images/products/tullstorp-cabinet-beige__1029439_pe835821_s5.jpg?f=s,00466386
LIXHULT 릭스훌트,"39,800",수납콤비네이션, 화이트/화이트,25x25x50 cm,4,3,https://www.ikea.com/kr/ko/p/lixhult-storage-combination-white-white-s69161509/,https://www.ikea.com/kr/ko/images/products/lixhult-storage-combination-white-white__0644356_pe702622_s5.jpg?f=s,69161509
TULLSTORP 툴스토르프,"129,000",수납장, 베이지,73x35x126 cm,4.8,4,https://www.ikea.com/kr/ko/p/tullstorp-cabinet-beige-70466383/,https://www.ikea.com/kr/ko/images/products/tullstorp-cabinet-beige__1029443_pe835825_s5.jpg?f=s,70466383
HÄLLAN 헬란,"110,000",수납콤비네이션+도어, 화이트,45x47x117 cm,5,3,https://www.ikea.com/kr/ko/p/haellan-storage-combination-with-doors-white-s59249329/,https://www.ikea.com/kr/ko/images/products/haellan-storage-combination-with-doors-white__0555070_pe660111_s5.jpg?f=s,59249329
BESTÅ 베스토,"300,000",수납콤비네이션+도어/서랍, 화이트/셀스비켄 하이글로스/화이트,120x40x74 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/besta-storage-combination-w-doors-drawers-white-selsviken-high-gloss-white-s19187333/,https://www.ikea.com/kr/ko/images/products/besta-storage-combination-w-doors-drawers-white-selsviken-high-gloss-white__0349580_pe538401_s5.jpg?f=s,19187333
BESTÅ 베스토,"485,000",수납콤비네이션+도어, 블랙브라운 비에르셰비켄/브라운 스테인 참나무 무늬목,120x42x202 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/besta-storage-combination-with-doors-black-brown-bjoerkoeviken-brown-stained-oak-veneer-s19435837/,https://www.ikea.com/kr/ko/images/products/besta-storage-combination-with-doors-black-brown-bjoerkoeviken-brown-stained-oak-veneer__0994389_pe821065_s5.jpg?f=s,19435837
LOMMARP 롬마르프,"449,000",수납장, 다크 블루-그린,102x101 cm,4.2,5,https://www.ikea.com/kr/ko/p/lommarp-cabinet-dark-blue-green-60415469/,https://www.ikea.com/kr/ko/images/products/lommarp-cabinet-dark-blue-green__0739327_pe741692_s5.jpg?f=s,60415469
