Name,Price,Category,Color,,Size,Rating,Reviews,URL,Image URL,Product Number
GR_NLID 그뢴리드,770000,긴의자, 스포르다 내추럴,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-chaise-longue-sporda-natural-s39408357/,https://www.ikea.com/kr/ko/images/products/groenlid-chaise-longue-sporda-natural__0577298_pe668759_s5.jpg?f=s,39408357
GR_NLID 그뢴리드,639000,4인용소파커버, 긴의자/스포르다 내추럴,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-cover-for-4-seat-sofa-with-chaise-longues-sporda-natural-s39408461/,https://www.ikea.com/kr/ko/images/products/groenlid-cover-for-4-seat-sofa-with-chaise-longues-sporda-natural__0577302_pe668762_s5.jpg?f=s,39408461
GR_NLID 그뢴리드,700000,긴의자, 융엔 미디엄그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-chaise-longue-ljungen-medium-grey-s39409026/,https://www.ikea.com/kr/ko/images/products/groenlid-chaise-longue-ljungen-medium-grey__0577276_pe668733_s5.jpg?f=s,39409026
GR_NLID 그뢴리드,369000,3인용소파커버, 긴의자/융엔 미디엄그레이,0,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/groenlid-cover-for-3-seat-sofa-with-chaise-longue-ljungen-medium-grey-s39409106/,https://www.ikea.com/kr/ko/images/products/groenlid-cover-for-3-seat-sofa-with-chaise-longue-ljungen-medium-grey__0577279_pe668740_s5.jpg?f=s,39409106
VIMLE 빔레,680000,긴의자, 넓은 팔걸이/삭세마라 라이트블루,블루,No Size,5,2,https://www.ikea.com/kr/ko/p/vimle-chaise-longue-with-wide-armrests-saxemara-light-blue-s39409149/,https://www.ikea.com/kr/ko/images/products/vimle-chaise-longue-with-wide-armrests-saxemara-light-blue__0951857_pe801393_s5.jpg?f=s,39409149
SKUMPARP 스쿰파르프,568600,테이블+의자4, 대나무 브라운/힐라레드 브라운/무연탄,우드,140x84 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/skumparp-table-and-4-chairs-bamboo-brown-hillared-brown-anthracite-s39416324/,https://www.ikea.com/kr/ko/images/products/skumparp-table-and-4-chairs-bamboo-brown-hillared-brown-anthracite__0978878_pe814347_s5.jpg?f=s,39416324
KLIMPFJ_LL 클림프피엘 / NORDVIKEN 노르드비켄,1278400,테이블+의자6, 그레이브라운/화이트,0,240x95 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/klimpfjaell-nordviken-table-and-6-chairs-grey-brown-white-s39418422/,https://www.ikea.com/kr/ko/images/products/klimpfjaell-nordviken-table-and-6-chairs-grey-brown-white__1009280_pe827539_s5.jpg?f=s,39418422
VIMLE 빔레,140000,긴의자커버, 넓은 팔걸이/삭세마라 라이트블루,블루,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vimle-cover-for-chaise-longue-with-wide-armrests-saxemara-light-blue-s39424140/,https://www.ikea.com/kr/ko/images/products/vimle-cover-for-chaise-longue-with-wide-armrests-saxemara-light-blue__0951857_pe801393_s5.jpg?f=s,39424140
VIMLE 빔레,289000,3인용소파+긴의자커버, 넓은 팔걸이 머리받침/삭세마라 블랙블루,블루,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vimle-cover-3-seat-sofa-w-chaise-longue-with-wide-armrests-with-headrest-saxemara-black-blue-s39425031/,https://www.ikea.com/kr/ko/images/products/vimle-cover-3-seat-sofa-w-chaise-longue-with-wide-armrests-with-headrest-saxemara-black-blue__1030002_pe836087_s5.jpg?f=s,39425031
VIMLE 빔레,279000,3인용소파+긴의자커버, 머리받침 삭세마라/라이트블루,블루,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/vimle-cover-3-seat-sofa-w-chaise-longue-with-headrest-saxemara-light-blue-s39425088/,https://www.ikea.com/kr/ko/images/products/vimle-cover-3-seat-sofa-w-chaise-longue-with-headrest-saxemara-light-blue__0949584_pe799875_s5.jpg?f=s,39425088
MELLTORP 멜토르프 / K_TTIL 셰틸,169700,테이블+의자2, 화이트/크니사 라이트그레이,화이트,75 cm,4.7,9,https://www.ikea.com/kr/ko/p/melltorp-kaettil-table-and-2-chairs-white-knisa-light-grey-s39428195/,https://www.ikea.com/kr/ko/images/products/melltorp-kaettil-table-and-2-chairs-white-knisa-light-grey__1016370_pe830348_s5.jpg?f=s,39428195
VANGSTA 방스타 / K_TTIL 셰틸,378600,테이블+의자4, 화이트/크니사 라이트그레이,화이트,120/180 cm,2,1,https://www.ikea.com/kr/ko/p/vangsta-kaettil-table-and-4-chairs-white-knisa-light-grey-s39428765/,https://www.ikea.com/kr/ko/images/products/vangsta-kaettil-table-and-4-chairs-white-knisa-light-grey__1016377_pe830355_s5.jpg?f=s,39428765
EKEDALEN 에케달렌 / K_TTIL 셰틸,358800,테이블+의자2, 화이트/크니사 라이트그레이,화이트,80/120 cm,5,5,https://www.ikea.com/kr/ko/p/ekedalen-kaettil-table-and-2-chairs-white-knisa-light-grey-s39428812/,https://www.ikea.com/kr/ko/images/products/ekedalen-kaettil-table-and-2-chairs-white-knisa-light-grey__1016366_pe830345_s5.jpg?f=s,39428812
