Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
TIPHEDE 팁헤데,"18,000",평직러그, 내추럴/블랙,120x180 cm,3.9,52,https://www.ikea.com/kr/ko/p/tiphede-rug-flatwoven-natural-black-00456759/,https://www.ikea.com/kr/ko/images/products/tiphede-rug-flatwoven-natural-black__0772066_pe755879_s5.jpg?f=s,00456759
SPORUP 스포루프,"119,000",단모러그, 브라운,170x240 cm,4.5,16,https://www.ikea.com/kr/ko/p/sporup-rug-low-pile-brown-10453430/,https://www.ikea.com/kr/ko/images/products/sporup-rug-low-pile-brown__0730382_pe737523_s5.jpg?f=s,10453430
STOENSE 스토엔세,"199,000",단모러그, 오프화이트,200x300 cm,4.5,45,https://www.ikea.com/kr/ko/p/stoense-rug-low-pile-off-white-00426809/,https://www.ikea.com/kr/ko/images/products/stoense-rug-low-pile-off-white__0624402_pe691814_s5.jpg?f=s,00426809
STOENSE 스토엔세,"49,900",단모러그, 오프화이트,130 cm,4.3,10,https://www.ikea.com/kr/ko/p/stoense-rug-low-pile-off-white-80426805/,https://www.ikea.com/kr/ko/images/products/stoense-rug-low-pile-off-white__0622593_pe690629_s5.jpg?f=s,80426805
GRACIÖS 그라시외스,"49,900",러그, 핑크/블루,133x160 cm,4.8,4,https://www.ikea.com/kr/ko/p/gracioes-rug-pink-blue-50462512/,https://www.ikea.com/kr/ko/images/products/gracioes-rug-pink-blue__0774028_pe756576_s5.jpg?f=s,50462512
LANGSTED 랑스테드,"59,900",단모러그, 옐로,133x195 cm,4.4,27,https://www.ikea.com/kr/ko/p/langsted-rug-low-pile-yellow-00408056/,https://www.ikea.com/kr/ko/images/products/langsted-rug-low-pile-yellow__0708105_pe726548_s5.jpg?f=s,00408056
VONSBÄK 본스베크,"119,000",단모러그, 그린,170x230 cm,4.4,9,https://www.ikea.com/kr/ko/p/vonsbaek-rug-low-pile-green-50450038/,https://www.ikea.com/kr/ko/images/products/vonsbaek-rug-low-pile-green__0717879_pe731373_s5.jpg?f=s,50450038
BUSENKEL 부셍켈,"69,900",러그, 할리퀸 패턴/멀티컬러,130x160 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/busenkel-rug-harlequin-pattern-multicolour-40520428/,https://www.ikea.com/kr/ko/images/products/busenkel-rug-harlequin-pattern-multicolour__1032940_pe837065_s5.jpg?f=s,40520428
STOENSE 스토엔세,"49,900",단모러그, 오프화이트,80x150 cm,4.9,15,https://www.ikea.com/kr/ko/p/stoense-rug-low-pile-off-white-60426806/,https://www.ikea.com/kr/ko/images/products/stoense-rug-low-pile-off-white__0624419_pe691827_s5.jpg?f=s,60426806
VIRKLUND 비르클룬드,"79,900",평직러그, 실내외,160x230 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/virklund-rug-flatwoven-in-outdoor-beige-dark-grey-40517949/,https://www.ikea.com/kr/ko/images/products/virklund-rug-flatwoven-in-outdoor-beige-dark-grey__1048368_pe843701_s5.jpg?f=s,40517949
RÖRANDE 뢰란데,"49,900",러그, 삼각형,133x160 cm,5,1,https://www.ikea.com/kr/ko/p/roerande-rug-triangle-80462600/,https://www.ikea.com/kr/ko/images/products/roerande-rug-triangle__0787612_pe763387_s5.jpg?f=s,80462600
LINDKNUD 린드크누드,"19,900",장모러그, 베이지,60x90 cm,4.8,34,https://www.ikea.com/kr/ko/p/lindknud-rug-high-pile-beige-40426280/,https://www.ikea.com/kr/ko/images/products/lindknud-rug-high-pile-beige__0674006_pe717502_s5.jpg?f=s,40426280
MORUM 모룸,"29,900",평직러그, 실내외,80x200 cm,5,1,https://www.ikea.com/kr/ko/p/morum-rug-flatwoven-in-outdoor-dark-grey-90203574/,https://www.ikea.com/kr/ko/images/products/morum-rug-flatwoven-in-outdoor-dark-grey__0123534_pe279670_s5.jpg?f=s,90203574
VIRKLUND 비르클룬드,"19,900",평직러그, 실내외,80x150 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/virklund-rug-flatwoven-in-outdoor-white-beige-dark-grey-80517947/,https://www.ikea.com/kr/ko/images/products/virklund-rug-flatwoven-in-outdoor-white-beige-dark-grey__1048382_pe843704_s5.jpg?f=s,80517947
MORUM 모룸,"79,900",평직러그, 실내외,160x230 cm,4.2,6,https://www.ikea.com/kr/ko/p/morum-rug-flatwoven-in-outdoor-beige-00203564/,https://www.ikea.com/kr/ko/images/products/morum-rug-flatwoven-in-outdoor-beige__0123529_pe279665_s5.jpg?f=s,00203564
KNARDRUP 크나르드루프,"129,000",단모러그, 화이트,133x195 cm,4.3,3,https://www.ikea.com/kr/ko/p/knardrup-rug-low-pile-white-40492623/,https://www.ikea.com/kr/ko/images/products/knardrup-rug-low-pile-white__0933973_pe792259_s5.jpg?f=s,40492623
AUNING 아우닝,"19,900",주방매트, 베이지,45x120 cm,4.9,36,https://www.ikea.com/kr/ko/p/auning-kitchen-mat-beige-80414765/,https://www.ikea.com/kr/ko/images/products/auning-kitchen-mat-beige__0588900_pe673223_s5.jpg?f=s,80414765
PILLEMARK 필레마르크,"17,900",도어매트, 실내,50x90 cm,4.8,4,https://www.ikea.com/kr/ko/p/pillemark-door-mat-indoor-rainbow-50481011/,https://www.ikea.com/kr/ko/images/products/pillemark-door-mat-indoor-rainbow__0806525_pe769978_s5.jpg?f=s,50481011
LOHALS 로할스,"179,000",평직러그, 내추럴,200x300 cm,4.6,9,https://www.ikea.com/kr/ko/p/lohals-rug-flatwoven-natural-80277396/,https://www.ikea.com/kr/ko/images/products/lohals-rug-flatwoven-natural__0280230_pe419175_s5.jpg?f=s,80277396
BRYNDUM 브륀둠,"9,900",주방매트, 그레이,45x120 cm,4.6,54,https://www.ikea.com/kr/ko/p/bryndum-kitchen-mat-grey-60406337/,https://www.ikea.com/kr/ko/images/products/bryndum-kitchen-mat-grey__0448508_pe598172_s5.jpg?f=s,60406337
VINDEBÄK 빈데베크,"69,900",장모러그, 다크그린,133x195 cm,4.5,4,https://www.ikea.com/kr/ko/p/vindebaek-rug-high-pile-dark-green-00507886/,https://www.ikea.com/kr/ko/images/products/vindebaek-rug-high-pile-dark-green__0989203_pe818411_s5.jpg?f=s,00507886
VINDUM 빈둠,"279,000",장모러그, 화이트,200x270 cm,4.8,9,https://www.ikea.com/kr/ko/p/vindum-rug-high-pile-white-90344989/,https://www.ikea.com/kr/ko/images/products/vindum-rug-high-pile-white__0721735_pe733365_s5.jpg?f=s,90344989
RÖRKÄR 뢰르셰르,"29,900",평직러그, 블랙/내추럴,80x150 cm,4.3,3,https://www.ikea.com/kr/ko/p/roerkaer-rug-flatwoven-black-natural-50418779/,https://www.ikea.com/kr/ko/images/products/roerkaer-rug-flatwoven-black-natural__0617670_pe688119_s5.jpg?f=s,50418779
LOHALS 로할스,"39,900",평직러그, 내추럴,80x150 cm,4.7,9,https://www.ikea.com/kr/ko/p/lohals-rug-flatwoven-natural-00307482/,https://www.ikea.com/kr/ko/images/products/lohals-rug-flatwoven-natural__0428163_pe583379_s5.jpg?f=s,00307482
VODSKOV 보스코브,"129,000",평직러그, 내추럴/라이트그레이,133x195 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/vodskov-rug-flatwoven-natural-light-grey-60512286/,https://www.ikea.com/kr/ko/images/products/vodskov-rug-flatwoven-natural-light-grey__1047700_pe843490_s5.jpg?f=s,60512286
TÖRSLEV 퇴르슬레브,"34,900",평직러그, 스트라이프 화이트/블랙,80x150 cm,4.6,10,https://www.ikea.com/kr/ko/p/toerslev-rug-flatwoven-stripe-white-black-40418708/,https://www.ikea.com/kr/ko/images/products/toerslev-rug-flatwoven-stripe-white-black__0615373_pe687246_s5.jpg?f=s,40418708
SÖNDERÖD 쇤데뢰드,"249,000",장모러그, 블루,170x240 cm,4.9,8,https://www.ikea.com/kr/ko/p/soenderoed-rug-high-pile-blue-80345847/,https://www.ikea.com/kr/ko/images/products/soenderoed-rug-high-pile-blue__0602993_pe680614_s5.jpg?f=s,80345847
KLEJS 클레이스,"3,000",평직러그, 베이지/화이트,50x80 cm,4.2,20,https://www.ikea.com/kr/ko/p/klejs-rug-flatwoven-beige-white-50418581/,https://www.ikea.com/kr/ko/images/products/klejs-rug-flatwoven-beige-white__0709753_pe727070_s5.jpg?f=s,50418581
SVÄRDBORG 스베르드보리,"299,000",평직러그, 핸드메이드 오프화이트/멀티컬러,133x195 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/svaerdborg-rug-flatwoven-handmade-off-white-multicolour-00507928/,https://www.ikea.com/kr/ko/images/products/svaerdborg-rug-flatwoven-handmade-off-white-multicolour__0989200_pe818408_s5.jpg?f=s,00507928
SORTSÖ 소르트쇠,"5,900",평직러그, 미표백,55x85 cm,4.4,16,https://www.ikea.com/kr/ko/p/sortsoe-rug-flatwoven-unbleached-50418519/,https://www.ikea.com/kr/ko/images/products/sortsoe-rug-flatwoven-unbleached__0617674_pe688123_s5.jpg?f=s,50418519
