Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
KLEPPSTAD 클렙스타드,"189,000",옷장+도어3, 화이트,117x176 cm,4.1,20,https://www.ikea.com/kr/ko/p/kleppstad-wardrobe-with-3-doors-white-80441759/,https://www.ikea.com/kr/ko/images/products/kleppstad-wardrobe-with-3-doors-white__0753594_pe748782_s5.jpg?f=s,80441759
BRIMNES 브림네스,"299,000",옷장+도어3, 화이트,117x190 cm,4.2,6,https://www.ikea.com/kr/ko/p/brimnes-wardrobe-with-3-doors-white-10407928/,https://www.ikea.com/kr/ko/images/products/brimnes-wardrobe-with-3-doors-white__0176787_pe329567_s5.jpg?f=s,10407928
VUKU 부쿠,"20,000",옷장, 화이트,74x51x149 cm,4.6,22,https://www.ikea.com/kr/ko/p/vuku-wardrobe-white-10339331/,https://www.ikea.com/kr/ko/images/products/vuku-wardrobe-white__0498088_pe629449_s5.jpg?f=s,10339331
NORDKISA 노르드키사,"279,000",오픈형 옷장+미닫이도어, 대나무,120x186 cm,4.3,22,https://www.ikea.com/kr/ko/p/nordkisa-open-wardrobe-with-sliding-door-bamboo-80439469/,https://www.ikea.com/kr/ko/images/products/nordkisa-open-wardrobe-with-sliding-door-bamboo__0756084_pe748766_s5.jpg?f=s,80439469
PAX 팍스,"600,000",옷장, 화이트/하스비크 화이트,200x66x201 cm,5,3,https://www.ikea.com/kr/ko/p/pax-wardrobe-white-hasvik-white-s69180598/,https://www.ikea.com/kr/ko/images/products/pax-wardrobe-white-hasvik-white__0378721_pe554729_s5.jpg?f=s,69180598
KLEPPSTAD 클렙스타드,"199,000",미닫이 옷장, 화이트,117x176 cm,4,8,https://www.ikea.com/kr/ko/p/kleppstad-wardrobe-with-sliding-doors-white-30437241/,https://www.ikea.com/kr/ko/images/products/kleppstad-wardrobe-with-sliding-doors-white__0823547_pe775917_s5.jpg?f=s,30437241
SMÅSTAD 스모스타드 / PLATSA 플랏사,"257,500",옷장, 화이트 화이트/+서랍3,60x57x181 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/smastad-platsa-wardrobe-white-white-with-3-drawers-s39428317/,https://www.ikea.com/kr/ko/images/products/smastad-platsa-wardrobe-white-white-with-3-drawers__0925776_pe788879_s5.jpg?f=s,39428317
GURSKEN 구르스켄,"89,900",옷장, 라이트베이지,49x55x186 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/gursken-wardrobe-light-beige-50503292/,https://www.ikea.com/kr/ko/images/products/gursken-wardrobe-light-beige__0923964_pe788459_s5.jpg?f=s,50503292
KLEPPSTAD 클렙스타드,"159,000",옷장+도어2, 화이트,79x176 cm,4.2,5,https://www.ikea.com/kr/ko/p/kleppstad-wardrobe-with-2-doors-white-10437237/,https://www.ikea.com/kr/ko/images/products/kleppstad-wardrobe-with-2-doors-white__0733324_pe748781_s5.jpg?f=s,10437237
PAX 팍스 / HASVIK 하스비크,"572,500",옷장콤비네이션, 화이트,150x44x201 cm,5,1,https://www.ikea.com/kr/ko/p/pax-hasvik-wardrobe-combination-white-s59384261/,https://www.ikea.com/kr/ko/images/products/pax-hasvik-wardrobe-combination-white__0829864_pe776777_s5.jpg?f=s,59384261
GODISHUS 고디스후스,"129,000",옷장, 화이트,60x51x178 cm,4.8,8,https://www.ikea.com/kr/ko/p/godishus-wardrobe-white-30433484/,https://www.ikea.com/kr/ko/images/products/godishus-wardrobe-white__0721180_pe735622_s5.jpg?f=s,30433484
SUNDVIK 순드비크,"269,000",옷장, 그레이,80x50x172 cm,3,2,https://www.ikea.com/kr/ko/p/sundvik-wardrobe-grey-80494267/,https://www.ikea.com/kr/ko/images/products/sundvik-wardrobe-grey__0977367_pe813556_s5.jpg?f=s,80494267
BUSUNGE 부숭에,"149,000",옷장, 화이트,80x140 cm,4.7,6,https://www.ikea.com/kr/ko/p/busunge-wardrobe-white-40351350/,https://www.ikea.com/kr/ko/images/products/busunge-wardrobe-white__0642649_pe701364_s5.jpg?f=s,40351350
SMÅSTAD 스모스타드,"166,000",옷장, 화이트 화이트/+옷장레일2,60x42x181 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/smastad-wardrobe-white-white-with-2-clothes-rails-s29390876/,https://www.ikea.com/kr/ko/images/products/smastad-wardrobe-white-white-with-2-clothes-rails__0925744_pe788857_s5.jpg?f=s,29390876
MUSKEN 무스켄,"429,000",옷장+도어2/서랍3, 화이트,124x60x201 cm,3.5,4,https://www.ikea.com/kr/ko/p/musken-wardrobe-with-2-doors-3-drawers-white-50378684/,https://www.ikea.com/kr/ko/images/products/musken-wardrobe-with-2-doors-3-drawers-white__0590338_pe673833_s5.jpg?f=s,50378684
PAX 팍스 / GRIMO 그리모,"625,000",옷장콤비네이션, 화이트,200x66x201 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/pax-grimo-wardrobe-combination-white-s09418188/,https://www.ikea.com/kr/ko/images/products/pax-grimo-wardrobe-combination-white__0978040_pe813996_s5.jpg?f=s,09418188
HAUGA 하우가,"249,000",오픈형 옷장+서랍3, 화이트,70x199 cm,5,3,https://www.ikea.com/kr/ko/p/hauga-open-wardrobe-with-3-drawers-white-00456924/,https://www.ikea.com/kr/ko/images/products/hauga-open-wardrobe-with-3-drawers-white__0898789_pe782653_s5.jpg?f=s,00456924
JONAXEL 요낙셀,"31,000",수납콤비네이션, 화이트,25x51x70 cm,5,4,https://www.ikea.com/kr/ko/p/jonaxel-storage-combination-white-s69297131/,https://www.ikea.com/kr/ko/images/products/jonaxel-storage-combination-white__0703688_pe732250_s5.jpg?f=s,69297131
HAUGA 하우가,"299,000",미닫이 옷장, 화이트,118x55x199 cm,4.4,8,https://www.ikea.com/kr/ko/p/hauga-wardrobe-with-sliding-doors-white-40456917/,https://www.ikea.com/kr/ko/images/products/hauga-wardrobe-with-sliding-doors-white__0898797_pe782657_s5.jpg?f=s,40456917
PAX 팍스 / FLISBERGET/VIKEDAL 플리스베리에트/비케달,"665,000",옷장콤비네이션, 화이트/라이트베이지 거울유리,200x60x201 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/pax-flisberget-vikedal-wardrobe-combination-white-light-beige-mirror-glass-s19478129/,https://www.ikea.com/kr/ko/images/products/pax-flisberget-vikedal-wardrobe-combination-white-light-beige-mirror-glass__1080330_pe857966_s5.jpg?f=s,19478129
SONGESAND 송에산드,"349,000",옷장, 화이트,120x60x191 cm,4.3,7,https://www.ikea.com/kr/ko/p/songesand-wardrobe-white-70347352/,https://www.ikea.com/kr/ko/images/products/songesand-wardrobe-white__0555120_pe660185_s5.jpg?f=s,70347352
KLEPPSTAD 클렙스타드,"99,900",오픈형 옷장, 화이트,39x176 cm,5,2,https://www.ikea.com/kr/ko/p/kleppstad-open-wardrobe-white-50441765/,https://www.ikea.com/kr/ko/images/products/kleppstad-open-wardrobe-white__0733314_pe748786_s5.jpg?f=s,50441765
VISTHUS 비스투스,"429,000",옷장, 그레이/화이트,122x59x216 cm,4.4,5,https://www.ikea.com/kr/ko/p/visthus-wardrobe-grey-white-30347617/,https://www.ikea.com/kr/ko/images/products/visthus-wardrobe-grey-white__0625545_pe692344_s5.jpg?f=s,30347617
HEMNES 헴네스,"279,000",오픈형 옷장, 화이트스테인,120x50x197 cm,4.9,7,https://www.ikea.com/kr/ko/p/hemnes-open-wardrobe-white-stained-20379618/,https://www.ikea.com/kr/ko/images/products/hemnes-open-wardrobe-white-stained__0642960_pe701571_s5.jpg?f=s,20379618
PAX 팍스 / TYSSEDAL 튀세달,"685,500",옷장콤비네이션, 화이트/거울유리,150x60x201 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/pax-tyssedal-wardrobe-combination-white-mirror-glass-s39480268/,https://www.ikea.com/kr/ko/images/products/pax-tyssedal-wardrobe-combination-white-mirror-glass__1080732_pe858170_s5.jpg?f=s,39480268
NORDKISA 노르드키사,"259,000",오픈형 옷장+미닫이도어, 대나무,120x123 cm,4.8,5,https://www.ikea.com/kr/ko/p/nordkisa-open-wardrobe-with-sliding-door-bamboo-10439477/,https://www.ikea.com/kr/ko/images/products/nordkisa-open-wardrobe-with-sliding-door-bamboo__0756080_pe748763_s5.jpg?f=s,10439477
PAX 팍스 / MEHAMN 메함,"1,246,000",옷장, 화이트,250x66x201 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/pax-mehamn-wardrobe-white-s39478289/,https://www.ikea.com/kr/ko/images/products/pax-mehamn-wardrobe-white__1105764_pe868457_s5.jpg?f=s,39478289
