Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
ANGERSBY 앙에르스뷔,"179,000",2인용소파, 크니사 라이트그레이,No Size,4.5,37,https://www.ikea.com/kr/ko/p/angersby-2-seat-sofa-knisa-light-grey-80457118/,https://www.ikea.com/kr/ko/images/products/angersby-2-seat-sofa-knisa-light-grey__0770896_pe755642_s5.jpg?f=s,80457118
SÖDERHAMN 쇠데르함,"410,000",1인용섹션, 프리드투나 라이트베이지,No Size,5,2,https://www.ikea.com/kr/ko/p/soederhamn-1-seat-section-fridtuna-light-beige-s79449638/,https://www.ikea.com/kr/ko/images/products/soederhamn-1-seat-section-fridtuna-light-beige__1057689_pe848892_s5.jpg?f=s,79449638
GLOSTAD 글로스타드,"130,000",2인용소파, 크니사 다크그레이,No Size,5,3,https://www.ikea.com/kr/ko/p/glostad-2-seat-sofa-knisa-dark-grey-10489009/,https://www.ikea.com/kr/ko/images/products/glostad-2-seat-sofa-knisa-dark-grey__0950864_pe800736_s5.jpg?f=s,10489009
EKTORP 엑토르프,"549,000",3인용소파, 할라르프 베이지,No Size,4.8,18,https://www.ikea.com/kr/ko/p/ektorp-3-seat-sofa-hallarp-beige-s09320040/,https://www.ikea.com/kr/ko/images/products/ektorp-3-seat-sofa-hallarp-beige__0818569_pe774497_s5.jpg?f=s,09320040
KLIPPAN 클리판,"249,000",2인용소파, 비슬레 그레이,No Size,4.3,14,https://www.ikea.com/kr/ko/p/klippan-2-seat-sofa-vissle-grey-s49010615/,https://www.ikea.com/kr/ko/images/products/klippan-2-seat-sofa-vissle-grey__0239990_pe379591_s5.jpg?f=s,49010615
HAMMARN 함마른,"119,000",소파베드, 크니사 다크그레이/블랙,120 cm,4.3,408,https://www.ikea.com/kr/ko/p/hammarn-sofa-bed-knisa-dark-grey-black-80361494/,https://www.ikea.com/kr/ko/images/products/hammarn-sofa-bed-knisa-dark-grey-black__0519027_pe641353_s5.jpg?f=s,80361494
LINANÄS 리나네스,"249,000",2인용소파, 비슬레 베이지,No Size,5,2,https://www.ikea.com/kr/ko/p/linanaes-2-seat-sofa-vissle-beige-10499975/,https://www.ikea.com/kr/ko/images/products/linanaes-2-seat-sofa-vissle-beige__0972125_pe811545_s5.jpg?f=s,10499975
EKOLSUND 에콜순드,"349,000",리클라이너, 군나레드 다크그레이,No Size,4.9,8,https://www.ikea.com/kr/ko/p/ekolsund-recliner-gunnared-dark-grey-s09297191/,https://www.ikea.com/kr/ko/images/products/ekolsund-recliner-gunnared-dark-grey__0709891_pe727153_s5.jpg?f=s,09297191
LINANÄS 리나네스,"349,000",3인용소파, 비슬레 베이지,No Size,4,1,https://www.ikea.com/kr/ko/p/linanaes-3-seat-sofa-vissle-beige-90512237/,https://www.ikea.com/kr/ko/images/products/linanaes-3-seat-sofa-vissle-beige__1013894_pe829446_s5.jpg?f=s,90512237
KLIPPAN 클리판,"399,000",2인용소파, 봄스타드 블랙,No Size,3.7,6,https://www.ikea.com/kr/ko/p/klippan-2-seat-sofa-bomstad-black-10399315/,https://www.ikea.com/kr/ko/images/products/klippan-2-seat-sofa-bomstad-black__0562963_pe663653_s5.jpg?f=s,10399315
PÄRUP 페루프,"449,000",2인용소파, 군나레드 베이지,No Size,4,1,https://www.ikea.com/kr/ko/p/paerup-2-seat-sofa-gunnared-beige-s99389172/,https://www.ikea.com/kr/ko/images/products/paerup-2-seat-sofa-gunnared-beige__0950101_pe800212_s5.jpg?f=s,99389172
FLOTTEBO 플로테보,"699,000",소파베드, 비슬레 다크그레이,120 cm,4.5,8,https://www.ikea.com/kr/ko/p/flottebo-sofa-bed-vissle-dark-grey-s89297465/,https://www.ikea.com/kr/ko/images/products/flottebo-sofa-bed-vissle-dark-grey__0714009_pe729880_s5.jpg?f=s,89297465
EKTORP 엑토르프,"499,000",2인용소파, 할라르프 베이지,No Size,4.8,5,https://www.ikea.com/kr/ko/p/ektorp-2-seat-sofa-hallarp-beige-s09320002/,https://www.ikea.com/kr/ko/images/products/ektorp-2-seat-sofa-hallarp-beige__0818539_pe774470_s5.jpg?f=s,09320002
FYRESDAL 퓌레스달,"249,000",데이베드프레임, 블랙,80x200 cm,4.8,13,https://www.ikea.com/kr/ko/p/fyresdal-day-bed-frame-black-00424363/,https://www.ikea.com/kr/ko/images/products/fyresdal-day-bed-frame-black__0749151_pe745508_s5.jpg?f=s,00424363
FRIHETEN 프리헤텐,"599,000",수납코너소파베드, 시프테보 다크그레이,No Size,4.4,122,https://www.ikea.com/kr/ko/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s09216755/,https://www.ikea.com/kr/ko/images/products/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey__0175610_pe328883_s5.jpg?f=s,09216755
STRANDMON 스트란드몬,"99,900",풋스툴, 노르드발라 다크그레이,No Size,4.7,13,https://www.ikea.com/kr/ko/p/strandmon-footstool-nordvalla-dark-grey-30300417/,https://www.ikea.com/kr/ko/images/products/strandmon-footstool-nordvalla-dark-grey__0325401_pe517982_s5.jpg?f=s,30300417
KIVIK 쉬비크,"699,000",3인용소파, 힐라레드 베이지,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/kivik-3-seat-sofa-hillared-beige-s39484681/,https://www.ikea.com/kr/ko/images/products/kivik-3-seat-sofa-hillared-beige__0479989_pe618870_s5.jpg?f=s,39484681
SÖDERHAMN 쇠데르함,"699,000",3인용섹션, 프리드투나 라이트베이지,No Size,4.6,5,https://www.ikea.com/kr/ko/p/soederhamn-3-seat-section-fridtuna-light-beige-s79449643/,https://www.ikea.com/kr/ko/images/products/soederhamn-3-seat-section-fridtuna-light-beige__1057705_pe848919_s5.jpg?f=s,79449643
KIVIK 쉬비크,"1,790,000",4인용소파, 긴의자/그란/봄스타드 블랙,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/kivik-4-seat-sofa-with-chaise-longue-grann-bomstad-black-s79443194/,https://www.ikea.com/kr/ko/images/products/kivik-4-seat-sofa-with-chaise-longue-grann-bomstad-black__0151451_pe309530_s5.jpg?f=s,79443194
PÄRUP 페루프,"449,000",3인용소파, 비슬레 그레이,No Size,No Review,No Review,https://www.ikea.com/kr/ko/p/paerup-3-seat-sofa-vissle-grey-s79389470/,https://www.ikea.com/kr/ko/images/products/paerup-3-seat-sofa-vissle-grey__0950183_pe800198_s5.jpg?f=s,79389470
BACKSÄLEN 박셀렌,"749,000",3인용소파+긴의자, 블레킹에 화이트,No Size,5,1,https://www.ikea.com/kr/ko/p/backsaelen-3-seat-sofa-with-chaise-longue-blekinge-white-s29393182/,https://www.ikea.com/kr/ko/images/products/backsaelen-3-seat-sofa-with-chaise-longue-blekinge-white__0950583_pe800522_s5.jpg?f=s,29393182
HALVDAN 할브단,"549,000",2인용다이닝소파+쿠션/팔걸이1, 그레이/블랙/자작나무,142x66 cm,3,1,https://www.ikea.com/kr/ko/p/halvdan-so2-dining-with-cshns-1-armrest-grey-black-birch-s19395921/,https://www.ikea.com/kr/ko/images/products/halvdan-so2-dining-with-cshns-1-armrest-grey-black-birch__0934057_pe792300_s5.jpg?f=s,19395921
VIMLE 빔레,"899,000",3인용소파, 군나레드 베이지,No Size,5,1,https://www.ikea.com/kr/ko/p/vimle-3-seat-sofa-gunnared-beige-s39399032/,https://www.ikea.com/kr/ko/images/products/vimle-3-seat-sofa-gunnared-beige__0514366_pe639439_s5.jpg?f=s,39399032
SÖDERHAMN 쇠데르함,"540,000",코너섹션, 비아르프 베이지/브라운,No Size,5,1,https://www.ikea.com/kr/ko/p/soederhamn-corner-section-viarp-beige-brown-s59305626/,https://www.ikea.com/kr/ko/images/products/soederhamn-corner-section-viarp-beige-brown__0802789_pe768594_s5.jpg?f=s,59305626
SOLLERÖN 솔레뢴,"623,600",2인용 모듈소파, 야외용,161x82x90 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/solleroen-2-seat-modular-sofa-outdoor-brown-jaerpoen-duvholmen-anthracite-s89308379/,https://www.ikea.com/kr/ko/images/products/solleroen-2-seat-modular-sofa-outdoor-brown-jaerpoen-duvholmen-anthracite__0788764_pe763737_s5.jpg?f=s,89308379
