Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
LACK 라크,"34,900",커피테이블, 화이트스테인 참나무무늬,90x55 cm,4,13,https://www.ikea.com/kr/ko/p/lack-coffee-table-white-stained-oak-effect-90431533/,https://www.ikea.com/kr/ko/images/products/lack-coffee-table-white-stained-oak-effect__0711928_pe728568_s5.jpg?f=s,90431533
RÅSKOG 로스코그,"37,900",카트, 블랙,35x45x78 cm,4.8,228,https://www.ikea.com/kr/ko/p/raskog-trolley-black-70333977/,https://www.ikea.com/kr/ko/images/products/raskog-trolley-black__0736869_pe740783_s5.jpg?f=s,70333977
BEKANT 베칸트,"109,000",테이블상판, 화이트스테인 참나무 무늬목,120x80 cm,5,3,https://www.ikea.com/kr/ko/p/bekant-table-top-white-stained-oak-veneer-70366289/,https://www.ikea.com/kr/ko/images/products/bekant-table-top-white-stained-oak-veneer__0734698_pe739593_s5.jpg?f=s,70366289
BEKANT 베칸트,"109,000",테이블상판, 블랙스테인 물푸레무늬목,120x80 cm,5,3,https://www.ikea.com/kr/ko/p/bekant-table-top-black-stained-ash-veneer-30366291/,https://www.ikea.com/kr/ko/images/products/bekant-table-top-black-stained-ash-veneer__0734695_pe739590_s5.jpg?f=s,30366291
LINNMON 린몬,"19,000",테이블상판, 다크그레이,100x60 cm,4.7,13,https://www.ikea.com/kr/ko/p/linnmon-table-top-dark-grey-20490210/,https://www.ikea.com/kr/ko/images/products/linnmon-table-top-dark-grey__0977886_pe813908_s5.jpg?f=s,20490210
LINNMON 린몬,"19,000",테이블상판, 화이트스테인 참나무무늬,100x60 cm,4.7,13,https://www.ikea.com/kr/ko/p/linnmon-table-top-white-stained-oak-effect-40473605/,https://www.ikea.com/kr/ko/images/products/linnmon-table-top-white-stained-oak-effect__0989117_pe818385_s5.jpg?f=s,40473605
LUNNARP 룬나르프,"89,900",커피테이블, 화이트,90x55 cm,4.5,4,https://www.ikea.com/kr/ko/p/lunnarp-coffee-table-white-30399017/,https://www.ikea.com/kr/ko/images/products/lunnarp-coffee-table-white__0593617_pe675313_s5.jpg?f=s,30399017
MÅLSKYTT 몰쉬트 / MITTBACK 미트바크,"194,000",책상, 자작나무/화이트,140x60 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/malskytt-mittback-desk-birch-white-s69417794/,https://www.ikea.com/kr/ko/images/products/malskytt-mittback-desk-birch-white__0976217_pe813113_s5.jpg?f=s,69417794
NORDEN 노르덴,"299,000",게이트레그 테이블, 화이트,26/89/152x80 cm,4.8,18,https://www.ikea.com/kr/ko/p/norden-gateleg-table-white-70422394/,https://www.ikea.com/kr/ko/images/products/norden-gateleg-table-white__0104381_pe251365_s5.jpg?f=s,70422394
LAGKAPTEN 락캅텐,"39,000",테이블상판, 다크그레이,120x60 cm,5,3,https://www.ikea.com/kr/ko/p/lagkapten-table-top-dark-grey-60460664/,https://www.ikea.com/kr/ko/images/products/lagkapten-table-top-dark-grey__0977791_pe813775_s5.jpg?f=s,60460664
LAGKAPTEN 락캅텐,"39,000",테이블상판, 화이트스테인 참나무무늬,120x60 cm,5,3,https://www.ikea.com/kr/ko/p/lagkapten-table-top-white-stained-oak-effect-90460667/,https://www.ikea.com/kr/ko/images/products/lagkapten-table-top-white-stained-oak-effect__0977793_pe813777_s5.jpg?f=s,90460667
LAGKAPTEN 락캅텐,"39,000",테이블상판, 라이트그린,120x60 cm,5,3,https://www.ikea.com/kr/ko/p/lagkapten-table-top-light-green-40522578/,https://www.ikea.com/kr/ko/images/products/lagkapten-table-top-light-green__1073224_pe855660_s5.jpg?f=s,40522578
VITTSJÖ 빗셰,"39,900",노트북스탠드, 화이트/유리,35x65 cm,4.4,20,https://www.ikea.com/kr/ko/p/vittsjoe-laptop-stand-white-glass-70303447/,https://www.ikea.com/kr/ko/images/products/vittsjoe-laptop-stand-white-glass__0324875_pe517662_s5.jpg?f=s,70303447
TROTTEN 트로텐,"90,000",책상, 베이지/화이트,120x60 cm,3,1,https://www.ikea.com/kr/ko/p/trotten-desk-beige-white-s39434257/,https://www.ikea.com/kr/ko/images/products/trotten-desk-beige-white__1020748_pe831976_s5.jpg?f=s,39434257
LOMMARP 롬마르프,"249,000",책상, 라이트베이지,90x54 cm,4.9,8,https://www.ikea.com/kr/ko/p/lommarp-desk-light-beige-60442825/,https://www.ikea.com/kr/ko/images/products/lommarp-desk-light-beige__0770955_pe755649_s5.jpg?f=s,60442825
IDÅSEN 이도센,"369,000",책상, 브라운/베이지,160x80 cm,5,8,https://www.ikea.com/kr/ko/p/idasen-desk-brown-beige-s69281031/,https://www.ikea.com/kr/ko/images/products/idasen-desk-brown-beige__0736571_pe740625_s5.jpg?f=s,69281031
