Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
VEVELSTAD 베벨스타드,"99,900",침대프레임, 화이트,120x200 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/vevelstad-bed-frame-white-80518273/,https://www.ikea.com/kr/ko/images/products/vevelstad-bed-frame-white__1035356_pe840532_s5.jpg?f=s,80518273
GRIMSBU 그림스부,"50,000",침대프레임, 그레이,90x200 cm,5,4,https://www.ikea.com/kr/ko/p/grimsbu-bed-frame-grey-20458757/,https://www.ikea.com/kr/ko/images/products/grimsbu-bed-frame-grey__0749251_pe747239_s5.jpg?f=s,20458757
HAMMARN 함마른,"119,000",소파베드, 크니사 다크그레이/블랙,120 cm,4.3,408,https://www.ikea.com/kr/ko/p/hammarn-sofa-bed-knisa-dark-grey-black-80361494/,https://www.ikea.com/kr/ko/images/products/hammarn-sofa-bed-knisa-dark-grey-black__0519027_pe641353_s5.jpg?f=s,80361494
BLÅKULLEN 블로쿨렌,"169,000",쿠션형 침대프레임+코너침대헤드, 크니사 미디엄블루,90x200 cm,3,1,https://www.ikea.com/kr/ko/p/blakullen-uph-bed-frame-with-corner-headboard-knisa-medium-blue-50507186/,https://www.ikea.com/kr/ko/images/products/blakullen-uph-bed-frame-with-corner-headboard-knisa-medium-blue__0995498_pe821743_s5.jpg?f=s,50507186
HEMNES 헴네스,"334,000",침대프레임, 블랙브라운/루뢰위,150x200 cm,4.4,8,https://www.ikea.com/kr/ko/p/hemnes-bed-frame-black-brown-luroey-s09198233/,https://www.ikea.com/kr/ko/images/products/hemnes-bed-frame-black-brown-luroey__0637551_pe704560_s5.jpg?f=s,09198233
NORDLI 노르들리,"359,000",수납침대프레임, 화이트,120x200 cm,4.7,22,https://www.ikea.com/kr/ko/p/nordli-bed-frame-with-storage-white-50349856/,https://www.ikea.com/kr/ko/images/products/nordli-bed-frame-with-storage-white__0655083_pe708900_s5.jpg?f=s,50349856
KOPARDAL 코파르달,"184,000",침대프레임, 그레이/루뢰위,120x200 cm,4.5,17,https://www.ikea.com/kr/ko/p/kopardal-bed-frame-grey-luroey-s09157925/,https://www.ikea.com/kr/ko/images/products/kopardal-bed-frame-grey-luroey__1028815_pe835561_s5.jpg?f=s,09157925
GRIMSBU 그림스부,"70,000",침대프레임, 그레이,150x200 cm,5,2,https://www.ikea.com/kr/ko/p/grimsbu-bed-frame-grey-40458756/,https://www.ikea.com/kr/ko/images/products/grimsbu-bed-frame-grey__0749249_pe747240_s5.jpg?f=s,40458756
TARVA 타르바,"104,000",침대프레임, 소나무,120x200 cm,3.7,6,https://www.ikea.com/kr/ko/p/tarva-bed-frame-pine-00354459/,https://www.ikea.com/kr/ko/images/products/tarva-bed-frame-pine__1051170_pe845036_s5.jpg?f=s,00354459
FYRESDAL 퓌레스달,"249,000",데이베드프레임, 블랙,80x200 cm,4.8,13,https://www.ikea.com/kr/ko/p/fyresdal-day-bed-frame-black-00424363/,https://www.ikea.com/kr/ko/images/products/fyresdal-day-bed-frame-black__0749151_pe745508_s5.jpg?f=s,00424363
MALM 말름,"414,000",높은침대프레임+수납상자2, 화이트/뢴세트,120x200 cm,4.5,13,https://www.ikea.com/kr/ko/p/malm-bed-frame-high-w-2-storage-boxes-white-loenset-s29199854/,https://www.ikea.com/kr/ko/images/products/malm-bed-frame-high-w-2-storage-boxes-white-loenset__0948881_pe799354_s5.jpg?f=s,29199854
LURÖY 루뢰위,"25,000",침대갈빗살,No Color,80x200 cm,3.3,49,https://www.ikea.com/kr/ko/p/luroey-slatted-bed-base-00278724/,https://www.ikea.com/kr/ko/images/products/luroey-slatted-bed-base__0268301_pe406268_s5.jpg?f=s,00278724
UTÅKER 우토케르,"199,000",적층식 침대, 소나무,80x200 cm,4.3,8,https://www.ikea.com/kr/ko/p/utaker-stackable-bed-pine-70360485/,https://www.ikea.com/kr/ko/images/products/utaker-stackable-bed-pine__0655003_pe708895_s5.jpg?f=s,70360485
NESTTUN 네스툰,"214,000",침대프레임, 화이트/뢴세트,120x200 cm,4.5,11,https://www.ikea.com/kr/ko/p/nesttun-bed-frame-white-loenset-s49158046/,https://www.ikea.com/kr/ko/images/products/nesttun-bed-frame-white-loenset__0430662_pe584729_s5.jpg?f=s,49158046
SONGESAND 송에산드,"144,000",침대프레임, 화이트,120x200 cm,5,1,https://www.ikea.com/kr/ko/p/songesand-bed-frame-white-80372567/,https://www.ikea.com/kr/ko/images/products/songesand-bed-frame-white__1051180_pe845041_s5.jpg?f=s,80372567
FYRESDAL 퓌레스달,"527,000",데이베드+매트리스2, 블랙/오스방 단단함,80x200 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/fyresdal-day-bed-with-2-mattresses-black-asvang-firm-s29428087/,https://www.ikea.com/kr/ko/images/products/fyresdal-day-bed-with-2-mattresses-black-asvang-firm__0749151_pe745508_s5.jpg?f=s,29428087
ASKVOLL 아스크볼,"189,000",침대+헤드, 화이트,90x200 cm,3.9,29,https://www.ikea.com/kr/ko/p/askvoll-bed-with-headboard-white-s79128557/,https://www.ikea.com/kr/ko/images/products/askvoll-bed-with-headboard-white__0417521_pe575801_s5.jpg?f=s,79128557
ASKVOLL 아스크볼,"254,000",침대프레임, 화이트/루뢰위,150x200 cm,4.9,15,https://www.ikea.com/kr/ko/p/askvoll-bed-frame-white-luroey-s89030471/,https://www.ikea.com/kr/ko/images/products/askvoll-bed-frame-white-luroey__0637517_pe698357_s5.jpg?f=s,89030471
SLATTUM 슬라툼,"179,000",쿠션형 침대프레임, 크니사 라이트그레이,150x200 cm,5,6,https://www.ikea.com/kr/ko/p/slattum-upholstered-bed-frame-knisa-light-grey-80446375/,https://www.ikea.com/kr/ko/images/products/slattum-upholstered-bed-frame-knisa-light-grey__0768244_pe754388_s5.jpg?f=s,80446375
HEMNES 헴네스,"284,000",침대프레임, 화이트 스테인/루뢰위,120x200 cm,4.8,13,https://www.ikea.com/kr/ko/p/hemnes-bed-frame-white-stain-luroey-s09198394/,https://www.ikea.com/kr/ko/images/products/hemnes-bed-frame-white-stain-luroey__0948861_pe799327_s5.jpg?f=s,09198394
